,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,kmeans-2clusters
58,0.889,0.458,134.469,0.0964,0.000626,0.403,4,0.4,11,592417,-6.91,0.343,0,audio_features,spotify:track:3yALY3kIx7Z7szbRO2lRgT,0
59,0.866,0.232,109.825,0.059,0.000739,0.00141,4,0.308,2,438120,-5.671,0.227,0,audio_features,spotify:track:6p8eFfPw3nQkf37aT3AkmK,0
62,0.386,0.119,107.756,0.426,0.226,0.0,5,0.538,6,310152,-14.142,0.381,0,audio_features,spotify:track:0bdeLFRIziXGqXdz5UJDb0,0
63,0.557,0.127,159.018,0.0355,0.123,4.6e-06,4,0.193,7,366667,-7.725,0.176,1,audio_features,spotify:track:1J2uuMm8SyGEI8uPRTBc5v,0
65,0.599,0.201,112.657,0.0332,0.308,0.000333,3,0.393,9,486773,-7.337,0.344,1,audio_features,spotify:track:3BF9J3DjZuNKcfiAwkTsWK,0
68,0.828,0.133,142.589,0.0479,0.208,7.4e-05,1,0.264,2,305760,-6.195,0.21,0,audio_features,spotify:track:2GTX1cCoHvnnswgVtOUplb,0
69,0.67,0.0924,136.548,0.0307,0.0156,0.000414,4,0.374,7,235960,-7.694,0.362,1,audio_features,spotify:track:07W9HcJyjXPnKQSMbUcWZU,0
70,0.622,0.275,126.558,0.039,0.0566,0.0212,4,0.342,6,448333,-6.645,0.547,0,audio_features,spotify:track:34RISamoO5iubsOanSlpQo,0
76,0.684,0.34,77.15,0.0308,0.323,0.0,4,0.36,4,342653,-6.457,0.2,0,audio_features,spotify:track:5Xak5fmy089t0FYmh3VJiY,0
77,0.395,0.0984,132.611,0.0293,0.359,0.000173,4,0.456,2,195160,-10.129,0.243,0,audio_features,spotify:track:7uRcUUmZpU4YVZFNVZnyXd,0
80,0.723,0.146,98.745,0.0286,0.0016,0.176,4,0.478,11,259369,-6.512,0.265,0,audio_features,spotify:track:19cj5jW9ceHedTq3IF9D8O,0
81,0.59,0.104,124.635,0.0327,0.00182,0.00379,4,0.456,11,283733,-8.638,0.243,1,audio_features,spotify:track:2N2yrmodOnVF10mKvItC9P,0
84,0.584,0.0893,107.245,0.421,0.448,0.0,3,0.489,2,257910,-8.834,0.0881,1,audio_features,spotify:track:2DssdqAjNPUpI3qUy67FrR,0
86,0.626,0.145,119.975,0.262,0.292,0.0,4,0.8,4,256000,-5.724,0.0943,0,audio_features,spotify:track:191yHIyhUqBpU2VYNFVbID,0
88,0.476,0.128,124.044,0.222,0.285,0.0,4,0.854,1,248195,-8.037,0.219,0,audio_features,spotify:track:0efg1XQEkIk60cfAYEmkCV,0
90,0.71,0.093,105.357,0.12,0.794,0.0,3,0.402,0,162444,-8.223,0.381,0,audio_features,spotify:track:1GNYdCljVysaihacr6Y0Wt,0
91,0.487,0.0648,81.972,0.0341,0.445,1.44e-05,4,0.486,9,282013,-11.633,0.373,0,audio_features,spotify:track:0gaMmmhGi5buPXpquSAfxg,0
93,0.274,0.0724,64.21,0.0363,0.843,0.0165,4,0.52,11,209246,-10.661,0.222,0,audio_features,spotify:track:0JtcFIgrkSagrM5JdFakeO,0
97,0.318,0.376,121.633,0.0509,0.739,0.000528,4,0.501,7,321080,-13.753,0.285,1,audio_features,spotify:track:6iMjntVYkchLBJcqsiSNYZ,0
98,0.949,0.218,100.346,0.0896,0.0214,0.00778,4,0.274,11,406307,-8.642,0.497,1,audio_features,spotify:track:5Q41NLTmGbVPozwHKK7bk2,0
99,0.612,0.103,155.961,0.0275,0.0188,1e-06,4,0.443,1,207120,-7.321,0.204,1,audio_features,spotify:track:5fXQmRFO1CDN04HtUVNCUh,0
100,0.529,0.257,81.527,0.0275,0.17,4.27e-06,4,0.48,6,295480,-7.825,0.469,1,audio_features,spotify:track:5DeXQ3qADuDmqsosnZAK3o,0
103,0.491,0.114,79.954,0.0246,0.00693,0.00491,4,0.442,7,232120,-6.598,0.125,1,audio_features,spotify:track:5g1rzUEyVFNr2i4ifEjlVN,0
105,0.636,0.0921,79.419,0.0256,0.0629,2.49e-06,4,0.493,1,284907,-7.408,0.279,1,audio_features,spotify:track:78PKCefXwDLbl4FVO1Pjzh,0
106,0.452,0.689,113.066,0.0307,0.0353,0.00228,4,0.367,10,520787,-10.422,0.189,1,audio_features,spotify:track:54X78diSLoUDI3joC2bjMz,0
107,0.943,0.162,173.671,0.0669,0.0286,0.00401,4,0.249,0,233507,-5.188,0.458,1,audio_features,spotify:track:4Zc7TCHzuNwL0AFBlyLdyr,0
109,0.576,0.276,179.014,0.0289,0.00766,0.0462,4,0.348,0,288787,-8.388,0.428,1,audio_features,spotify:track:4nZi6XNe36Ut4Nij3IQ1yC,0
112,0.758,0.092,112.114,0.0297,0.000671,0.484,4,0.49,7,371413,-6.491,0.435,1,audio_features,spotify:track:7Jh1bpe76CNTCgdgAdBw4Z,0
113,0.547,0.0604,108.375,0.055,0.72,0.00314,4,0.629,10,298933,-13.123,0.197,0,audio_features,spotify:track:75FEaRjZTKLhTrFGsfMUXR,0
118,0.795,0.74,103.777,0.209,0.398,0.0,4,0.362,5,208408,-5.904,0.269,0,audio_features,spotify:track:5pxIcrqw518z9noxlSsCia,0
120,0.934,0.111,108.678,0.43,0.371,0.0,4,0.467,4,284729,-5.335,0.239,0,audio_features,spotify:track:2QMXWjWartSxCixoB4dmRk,0
123,0.522,0.126,80.184,0.319,0.497,0.000117,4,0.615,6,229427,-10.433,0.467,0,audio_features,spotify:track:2iuRcL3A08dpPrZBpDR2XA,0
124,0.656,0.112,141.873,0.0411,0.0458,2.54e-06,4,0.537,11,232173,-5.863,0.45,0,audio_features,spotify:track:2bDENJyfbxj0neGiXUFvIX,0
125,0.762,0.0925,78.196,0.459,0.383,0.0,3,0.616,8,280258,-6.959,0.0589,1,audio_features,spotify:track:6qykKqE67rrgOAf7abz85f,0
126,0.413,0.311,78.04,0.159,0.29,4.2e-05,4,0.69,4,160173,-7.83,0.183,0,audio_features,spotify:track:3JYB96HxTbbqlobhRK0wC8,0
128,0.501,0.0912,180.019,0.354,0.393,0.0,4,0.686,9,240000,-8.351,0.201,0,audio_features,spotify:track:2n6yqawCbg3A2QCxuN1wCd,0
129,0.657,0.147,93.047,0.108,0.707,0.0,4,0.6,6,271160,-8.271,0.178,1,audio_features,spotify:track:5NgiIRfE2oPROyy58yuc0v,0
130,0.624,0.101,120.055,0.141,0.765,0.0,4,0.672,6,237320,-8.557,0.214,0,audio_features,spotify:track:4Gekcg5AZJypYxGxHma8K6,0
133,0.512,0.296,130.271,0.0357,0.545,0.0,4,0.567,0,252613,-8.831,0.334,1,audio_features,spotify:track:5fgkjhICZnqFctrV0AyuQD,0
135,0.153,0.405,91.749,0.0322,0.903,0.0,4,0.351,11,183893,-11.954,0.212,0,audio_features,spotify:track:6WdcvzQADmrL8nucimUV6r,0
136,0.415,0.117,78.169,0.122,0.457,1.72e-05,4,0.527,4,125093,-11.451,0.515,0,audio_features,spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,0
137,0.38,0.0741,132.885,0.0251,0.269,8.36e-06,4,0.588,7,280627,-11.879,0.502,0,audio_features,spotify:track:3mFzIFFFmEXTQs6BDAK2ZZ,0
140,0.526,0.209,83.208,0.679,0.257,0.0,4,0.627,9,189264,-12.786,0.375,0,audio_features,spotify:track:3SUZOgGWN3Y28fw9NYo6au,0
146,0.759,0.109,130.116,0.173,0.205,0.0,4,0.606,6,214307,-6.186,0.0899,0,audio_features,spotify:track:0T0GUG3sWYYgjDUJQwo1aX,0
147,0.537,0.172,121.932,0.152,0.117,6.23e-06,4,0.755,11,145893,-8.461,0.327,0,audio_features,spotify:track:2Pc8BUFJSIfsaifRBLgCVg,0
148,0.534,0.0912,124.098,0.0937,0.377,0.00863,4,0.674,2,263399,-10.306,0.113,1,audio_features,spotify:track:0W2gYaPROLLYBvYxckrfQT,0
152,0.739,0.106,132.41,0.0415,0.0211,0.00444,4,0.496,6,336000,-7.193,0.378,1,audio_features,spotify:track:4JiEyzf0Md7KEFFGWDDdCr,0
153,0.554,0.157,130.037,0.0301,0.0508,0.0,4,0.658,4,374093,-6.956,0.309,0,audio_features,spotify:track:1kNPvVDqN2KZZrOhyqEiux,0
163,0.467,0.109,94.473,0.0274,0.0194,0.46,4,0.369,5,290147,-9.018,0.174,1,audio_features,spotify:track:3AVrVz5rK8Hrqo9YGiVGN5,0
165,0.599,0.137,125.83,0.0286,0.0665,9.86e-06,4,0.428,4,301730,-2.135,0.134,1,audio_features,spotify:track:6eEYGGFfFbtKHCgJM4uh9v,0
166,0.88,0.0592,140.009,0.0359,0.00151,2.92e-05,4,0.496,1,297682,-2.242,0.148,0,audio_features,spotify:track:0C4bx13JIMSWOAxd8TaoVq,0
167,0.796,0.0621,155.28,0.0896,0.00361,0.00143,4,0.336,6,353613,-10.845,0.417,0,audio_features,spotify:track:7l3WVKiAbCTnHfUMu1w85n,0
168,0.556,0.125,103.122,0.0646,0.0838,1.59e-05,4,0.476,4,364493,-10.586,0.43,0,audio_features,spotify:track:62oNfnQqObaqARM0DTibAL,0
170,0.428,0.102,92.069,0.056,0.611,0.0,4,0.609,0,312115,-10.247,0.21,1,audio_features,spotify:track:2RtWmKQPU9MfSCnKr5cc2R,0
171,0.809,0.13,129.003,0.239,0.397,0.0,4,0.707,4,214702,-6.455,0.189,0,audio_features,spotify:track:5jTMBN2FMQ8WrHPWVeHxJg,0
172,0.489,0.119,120.315,0.0271,0.497,0.0,4,0.595,7,269973,-6.66,0.0902,1,audio_features,spotify:track:1MTQHCpraD4S8g5PAFKzoj,0
173,0.647,0.0912,128.049,0.0466,0.0441,1.41e-06,4,0.641,6,261413,-8.619,0.251,0,audio_features,spotify:track:6mn3J5bVu0Bt3hPlK7lkqt,0
174,0.564,0.114,134.355,0.0292,0.161,0.0,4,0.565,2,295533,-10.044,0.454,1,audio_features,spotify:track:0jWgAnTrNZmOGmqgvHhZEm,0
175,0.668,0.111,83.005,0.0377,0.00299,0.128,4,0.231,4,461480,-5.517,0.0688,0,audio_features,spotify:track:30sZ1d4G8K8RVNhz0IWgPN,0
177,0.024,0.12,109.732,0.0411,0.831,0.758,3,0.307,7,301640,-28.353,0.524,0,audio_features,spotify:track:0y1eaipbcP50xp6WLgJtuv,0
181,0.463,0.114,74.004,0.048,0.259,3.28e-06,4,0.759,7,182653,-7.214,0.344,0,audio_features,spotify:track:0Xe2cPeOZawmqdJRNywx5f,0
188,0.419,0.103,116.018,0.051,0.775,2.3e-06,4,0.816,0,219057,-10.534,0.171,1,audio_features,spotify:track:6RWlszoXD9n1DzSFkEErTm,0
194,0.517,0.134,68.083,0.206,0.49,3.11e-05,4,0.338,11,268516,-8.08,0.103,1,audio_features,spotify:track:12SH8NE1e17yItgsb2gitp,0
195,0.511,0.358,114.007,0.0496,0.223,0.0,4,0.803,1,193684,-7.585,0.24,0,audio_features,spotify:track:3qT2eKpWNq5cze7kGGORDZ,0
196,0.151,0.168,77.098,0.0416,0.887,0.576,4,0.226,5,274240,-19.977,0.142,1,audio_features,spotify:track:45dFVMC4gijvG7lw3yNnD8,0
198,0.895,0.154,139.831,0.246,0.0083,0.0,4,0.597,3,283653,-4.313,0.272,1,audio_features,spotify:track:2lPXTisSIBbl5WtOvZ9gSj,0
199,0.594,0.111,116.009,0.0475,0.52,0.0,4,0.658,9,209987,-6.519,0.312,0,audio_features,spotify:track:6tW9IfjsF6D1YdJkIE7AQl,0
204,0.706,0.0875,119.944,0.0591,0.124,0.0,4,0.714,4,212013,-5.866,0.202,0,audio_features,spotify:track:6HFVoNXErW7mM9P9sfunYh,0
205,0.781,0.168,169.954,0.0961,0.134,0.0,4,0.567,1,178668,-3.376,0.394,1,audio_features,spotify:track:5eodOuMG2p2SfH87betM3X,0
209,0.853,0.155,93.572,0.42,0.119,0.0,4,0.571,4,162787,-4.929,0.213,0,audio_features,spotify:track:6GbhNUh4u0d5RDu5jtMdyH,0
211,0.607,0.0653,85.165,0.238,0.195,0.0,4,0.693,4,221860,-8.224,0.242,0,audio_features,spotify:track:3jTSkjeyBWlaH0ZZIyL4Y3,0
214,0.339,0.0812,127.961,0.148,0.836,7.43e-05,4,0.812,6,237456,-10.73,0.241,0,audio_features,spotify:track:2gaHAv8a7eDlsZra2g2J1l,0
215,0.431,0.126,121.87,0.03,0.357,0.00165,4,0.546,3,255347,-8.636,0.15,0,audio_features,spotify:track:7dUS9BQuTLt67grfmxxKDN,0
216,0.704,0.352,91.892,0.158,0.278,0.0,4,0.615,4,244931,-7.221,0.332,0,audio_features,spotify:track:5a2V37EXVyXVP9LnkxBOdK,0
217,0.701,0.107,160.021,0.39,0.238,0.0,4,0.667,10,229480,-7.24,0.338,1,audio_features,spotify:track:2eCSNerlTYETOQHYMVvRpt,0
218,0.601,0.0918,173.913,0.427,0.123,0.0,4,0.64,11,256552,-7.094,0.189,0,audio_features,spotify:track:2D0Qb8A8D1lZXu6JxZ7WJ6,0
221,0.489,0.0969,119.058,0.0713,0.152,0.0216,4,0.433,9,204788,-8.546,0.285,0,audio_features,spotify:track:1YSjp4pscPTOHaw2lyKVTA,0
222,0.573,0.113,83.926,0.134,0.407,0.00249,4,0.574,1,198008,-8.809,0.17,0,audio_features,spotify:track:63WncsLP44sjnDRw1s8oQk,0
224,0.722,0.22,93.344,0.16,0.227,3.87e-06,4,0.506,9,186400,-7.019,0.198,0,audio_features,spotify:track:2S13g8BhBuFzkGpwDw1ONM,0
225,0.535,0.0904,93.042,0.128,0.748,0.0,4,0.698,0,201030,-8.029,0.122,0,audio_features,spotify:track:1rEVYOEfQRHTCTU0UaeKwt,0
227,0.638,0.44,141.967,0.0906,0.297,1.41e-06,4,0.619,2,186985,-5.754,0.36,0,audio_features,spotify:track:6vFEvkXOnOTUMgPHxogIRK,0
228,0.63,0.116,136.187,0.0439,0.132,3.01e-05,4,0.515,2,265053,-8.029,0.357,1,audio_features,spotify:track:6C48u4T4hntL2LMEIo8fbh,0
233,0.803,0.0592,136.057,0.0638,0.713,0.0,4,0.39,7,364973,-6.884,0.546,0,audio_features,spotify:track:5JN70TFrbjjHVJkKfSXlAn,0
235,0.657,0.0845,173.17,0.216,0.119,0.0,4,0.673,1,216821,-4.424,0.328,1,audio_features,spotify:track:14ZpypwKwumffnbk1YbN1M,0
236,0.81,0.123,106.096,0.0935,0.323,0.0,4,0.739,5,195000,-4.62,0.166,0,audio_features,spotify:track:3XfOrUZyvDLVF2F9WVKZZG,0
245,0.667,0.166,78.031,0.0509,0.0389,0.0136,4,0.571,11,235773,-8.365,0.439,0,audio_features,spotify:track:0vPVqOKo8LWVganQgBZS5y,0
246,0.603,0.135,125.984,0.239,0.353,0.0,4,0.744,6,340107,-8.77,0.215,0,audio_features,spotify:track:2sTuKKRZI1ciK5tflR00YE,0
247,0.424,0.0876,175.905,0.061,0.752,0.0,4,0.435,7,191240,-7.367,0.475,0,audio_features,spotify:track:1hx2aNhY0DA7daiCvim1nb,0
248,0.545,0.097,149.779,0.324,0.118,0.0,3,0.642,7,213293,-6.405,0.412,0,audio_features,spotify:track:6x6gHLN8P1HxzKMAHSBluG,0
250,0.558,0.158,85.917,0.263,0.0315,0.00116,4,0.644,0,186977,-7.167,0.19,1,audio_features,spotify:track:5c6tSGBihkJVM8hHxvMcJg,0
254,0.952,0.918,109.275,0.0723,6.28e-05,0.154,4,0.319,4,441467,-5.315,0.228,0,audio_features,spotify:track:14H2fE4WEdkEem0kjVeODT,0
255,0.988,0.451,101.559,0.232,0.000731,0.00411,4,0.322,0,214360,-4.074,0.277,1,audio_features,spotify:track:21wB3DaIk112Ry3mEzqfit,0
256,0.319,0.106,156.172,0.0684,0.53,6.12e-06,3,0.624,0,210651,-9.035,0.377,0,audio_features,spotify:track:5xXMHq0eZJSPf9EaZivCoM,0
259,0.524,0.114,78.485,0.32,0.375,0.0,4,0.593,2,184293,-9.032,0.33,1,audio_features,spotify:track:01LqoYTPYFNLvUQ11GHRW7,0
265,0.572,0.156,109.01,0.0267,0.0333,0.0,4,0.583,7,227253,-10.064,0.268,1,audio_features,spotify:track:1C3aSTCbSbJOstEgdICLC8,0
266,0.519,0.0973,95.004,0.113,0.285,1.42e-06,4,0.68,9,211800,-11.125,0.238,0,audio_features,spotify:track:4glBRF3uJCf3bTG4hhIhpn,0
267,0.501,0.305,158.348,0.0731,0.778,0.0,4,0.388,11,166200,-11.296,0.532,0,audio_features,spotify:track:7M9pPyt8Gr41THLhbz4NSB,0
271,0.499,0.102,120.003,0.0597,0.148,0.0,1,0.601,5,264832,-9.961,0.409,0,audio_features,spotify:track:75TYlcnUj2ntdZqBy5RaH5,0
272,0.532,0.0925,136.571,0.0286,0.432,6.25e-06,4,0.601,10,281613,-9.119,0.341,1,audio_features,spotify:track:3gdewACMIVMEWVbyb8O9sY,0
275,0.551,0.135,129.568,0.132,0.451,0.0,4,0.595,5,255720,-8.273,0.468,0,audio_features,spotify:track:4Ca4yzwIFgYJxupDhcXLka,0
277,0.725,0.0895,100.089,0.0284,0.00248,0.00748,4,0.496,7,253173,-5.433,0.244,1,audio_features,spotify:track:0kFlrVCURmdI28SncSXDI3,0
279,0.523,0.0927,106.993,0.0312,0.727,0.0,4,0.662,11,208219,-9.087,0.39,1,audio_features,spotify:track:1KkPVmfNmNND1vm5PhUv5R,0
284,0.897,0.518,133.712,0.125,2.21e-05,0.797,4,0.301,7,735000,-6.519,0.347,1,audio_features,spotify:track:4dvv9kjWmlLqYdISQoOuDK,0
287,0.663,0.121,119.911,0.234,0.688,0.0,4,0.78,9,255677,-6.161,0.145,0,audio_features,spotify:track:6O03GOrn4Sey7ktrT8jeMa,0
288,0.822,0.0774,74.028,0.033,0.053,2.79e-06,4,0.523,3,330718,-4.114,0.409,1,audio_features,spotify:track:7sNNLWgh68ryM8Rk6DPqsY,0
289,0.456,0.196,97.518,0.192,0.0545,0.000459,4,0.778,9,146465,-10.165,0.119,1,audio_features,spotify:track:0e9dWwZD9EemG1w92C3JLp,0
295,0.672,0.611,146.161,0.419,0.27,0.0,3,0.653,4,172385,-6.408,0.296,0,audio_features,spotify:track:5B8fNGYgN6HkbOg4rcgXGm,0
296,0.378,0.143,119.962,0.282,0.475,4.63e-05,3,0.678,4,220000,-11.522,0.303,1,audio_features,spotify:track:0xTHot6ZzZbc8eiabOascN,0
302,0.505,0.156,176.917,0.0328,0.00989,0.13,4,0.419,4,217680,-6.004,0.358,0,audio_features,spotify:track:7Ks9Ajgd4ZZ5hhiDCWcDoc,0
303,0.00756,0.109,133.32,0.0382,0.941,0.00643,4,0.438,0,141133,-26.44,0.277,0,audio_features,spotify:track:4l9hml2UCnxoNI3yCdL1BW,0
304,0.463,0.0742,114.891,0.0354,0.0116,9.65e-05,4,0.517,1,206493,-9.664,0.49,0,audio_features,spotify:track:6FsXPr00DJIGSMRLNrmmZy,0
306,0.684,0.127,138.913,0.264,0.569,0.0,4,0.529,6,277260,-8.839,0.446,1,audio_features,spotify:track:1Abp3RSKwmuppE2SFkH93Z,0
307,0.622,0.156,112.02,0.0282,0.0176,0.0,4,0.656,4,237147,-6.391,0.159,0,audio_features,spotify:track:5OiC3eltQO7gXvOZMbrTn3,0
