,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri,kmeans-2clusters
92,0.726,0.707,139.978,0.0672,0.456,0.0,4,0.81,7,252335,-8.953,0.712,0,audio_features,spotify:track:7qUTdsU0OVNuBp6Nl7L1JS,0
93,0.274,0.0724,64.21,0.0363,0.843,0.0165,4,0.52,11,209246,-10.661,0.222,0,audio_features,spotify:track:0JtcFIgrkSagrM5JdFakeO,0
94,0.745,0.342,87.039,0.212,0.666,1.73e-05,4,0.695,0,184547,-6.59,0.592,0,audio_features,spotify:track:4aVbwkLJ7G4b972zlYhPJa,0
95,0.627,0.0895,89.518,0.357,0.691,1.3e-06,4,0.751,7,196947,-7.338,0.5,1,audio_features,spotify:track:0wuuk1Hr5j9uDT5j4J28s3,0
97,0.318,0.376,121.633,0.0509,0.739,0.000528,4,0.501,7,321080,-13.753,0.285,1,audio_features,spotify:track:6iMjntVYkchLBJcqsiSNYZ,0
111,0.521,0.214,106.055,0.0302,0.705,0.36,4,0.72,7,287933,-12.468,0.823,1,audio_features,spotify:track:0IWtEFQBwRHaMXZQtGEVcM,0
113,0.547,0.0604,108.375,0.055,0.72,0.00314,4,0.629,10,298933,-13.123,0.197,0,audio_features,spotify:track:75FEaRjZTKLhTrFGsfMUXR,0
114,0.6,0.137,80.014,0.291,0.541,0.0,4,0.787,8,270130,-6.723,0.423,1,audio_features,spotify:track:2kJ45danEDdh4BqGPgoCbX,0
116,0.623,0.385,93.038,0.269,0.814,2.08e-06,4,0.792,10,280764,-9.297,0.662,0,audio_features,spotify:track:3qP7mVYYiXk9BbhH4VM9Mw,0
122,0.392,0.091,104.058,0.362,0.391,0.00342,4,0.7,10,221719,-12.075,0.755,0,audio_features,spotify:track:7oG89V4J5UjVnihGNyRFTg,0
123,0.522,0.126,80.184,0.319,0.497,0.000117,4,0.615,6,229427,-10.433,0.467,0,audio_features,spotify:track:2iuRcL3A08dpPrZBpDR2XA,0
125,0.762,0.0925,78.196,0.459,0.383,0.0,3,0.616,8,280258,-6.959,0.0589,1,audio_features,spotify:track:6qykKqE67rrgOAf7abz85f,0
126,0.413,0.311,78.04,0.159,0.29,4.2e-05,4,0.69,4,160173,-7.83,0.183,0,audio_features,spotify:track:3JYB96HxTbbqlobhRK0wC8,0
127,0.374,0.253,160.052,0.401,0.768,0.00213,4,0.769,1,201345,-14.685,0.586,1,audio_features,spotify:track:1eABKElTBuoawVGwH86ahC,0
128,0.501,0.0912,180.019,0.354,0.393,0.0,4,0.686,9,240000,-8.351,0.201,0,audio_features,spotify:track:2n6yqawCbg3A2QCxuN1wCd,0
129,0.657,0.147,93.047,0.108,0.707,0.0,4,0.6,6,271160,-8.271,0.178,1,audio_features,spotify:track:5NgiIRfE2oPROyy58yuc0v,0
130,0.624,0.101,120.055,0.141,0.765,0.0,4,0.672,6,237320,-8.557,0.214,0,audio_features,spotify:track:4Gekcg5AZJypYxGxHma8K6,0
133,0.512,0.296,130.271,0.0357,0.545,0.0,4,0.567,0,252613,-8.831,0.334,1,audio_features,spotify:track:5fgkjhICZnqFctrV0AyuQD,0
135,0.153,0.405,91.749,0.0322,0.903,0.0,4,0.351,11,183893,-11.954,0.212,0,audio_features,spotify:track:6WdcvzQADmrL8nucimUV6r,0
136,0.415,0.117,78.169,0.122,0.457,1.72e-05,4,0.527,4,125093,-11.451,0.515,0,audio_features,spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,0
137,0.38,0.0741,132.885,0.0251,0.269,8.36e-06,4,0.588,7,280627,-11.879,0.502,0,audio_features,spotify:track:3mFzIFFFmEXTQs6BDAK2ZZ,0
140,0.526,0.209,83.208,0.679,0.257,0.0,4,0.627,9,189264,-12.786,0.375,0,audio_features,spotify:track:3SUZOgGWN3Y28fw9NYo6au,0
145,0.5,0.207,77.482,0.339,0.676,0.0,4,0.651,4,215467,-8.687,0.457,0,audio_features,spotify:track:29PtsEAg5BoUKwcpTFWZD2,0
148,0.534,0.0912,124.098,0.0937,0.377,0.00863,4,0.674,2,263399,-10.306,0.113,1,audio_features,spotify:track:0W2gYaPROLLYBvYxckrfQT,0
159,0.638,0.0999,169.999,0.115,0.385,1.44e-05,4,0.754,11,198187,-7.382,0.539,0,audio_features,spotify:track:1MvKqm1tHKFUF88IKx7MKs,0
170,0.428,0.102,92.069,0.056,0.611,0.0,4,0.609,0,312115,-10.247,0.21,1,audio_features,spotify:track:2RtWmKQPU9MfSCnKr5cc2R,0
171,0.809,0.13,129.003,0.239,0.397,0.0,4,0.707,4,214702,-6.455,0.189,0,audio_features,spotify:track:5jTMBN2FMQ8WrHPWVeHxJg,0
172,0.489,0.119,120.315,0.0271,0.497,0.0,4,0.595,7,269973,-6.66,0.0902,1,audio_features,spotify:track:1MTQHCpraD4S8g5PAFKzoj,0
177,0.024,0.12,109.732,0.0411,0.831,0.758,3,0.307,7,301640,-28.353,0.524,0,audio_features,spotify:track:0y1eaipbcP50xp6WLgJtuv,0
178,0.687,0.305,157.291,0.15,0.694,7.05e-05,4,0.581,7,161453,-14.152,0.892,1,audio_features,spotify:track:7p6ZGUXjUe0ctAu5RNnghu,0
181,0.463,0.114,74.004,0.048,0.259,3.28e-06,4,0.759,7,182653,-7.214,0.344,0,audio_features,spotify:track:0Xe2cPeOZawmqdJRNywx5f,0
184,0.728,0.201,132.034,0.291,0.521,0.0,4,0.812,10,196107,-6.904,0.471,0,audio_features,spotify:track:4hJip22FGywDqWCIV24sMS,0
185,0.637,0.0901,144.012,0.0404,0.454,0.0573,4,0.762,9,306093,-10.889,0.491,1,audio_features,spotify:track:1LPzBeE0fNQkklHQayI3dw,0
188,0.419,0.103,116.018,0.051,0.775,2.3e-06,4,0.816,0,219057,-10.534,0.171,1,audio_features,spotify:track:6RWlszoXD9n1DzSFkEErTm,0
189,0.852,0.218,157.404,0.222,0.731,5.11e-05,4,0.525,7,161907,-9.519,0.884,1,audio_features,spotify:track:6FT83pFXKhDlXDsNJFAHWz,0
194,0.517,0.134,68.083,0.206,0.49,3.11e-05,4,0.338,11,268516,-8.08,0.103,1,audio_features,spotify:track:12SH8NE1e17yItgsb2gitp,0
196,0.151,0.168,77.098,0.0416,0.887,0.576,4,0.226,5,274240,-19.977,0.142,1,audio_features,spotify:track:45dFVMC4gijvG7lw3yNnD8,0
199,0.594,0.111,116.009,0.0475,0.52,0.0,4,0.658,9,209987,-6.519,0.312,0,audio_features,spotify:track:6tW9IfjsF6D1YdJkIE7AQl,0
200,0.528,0.361,175.242,0.446,0.64,0.0,4,0.505,2,232330,-7.722,0.66,1,audio_features,spotify:track:6slxPaEM1yNZsZ7clD6tIW,0
201,0.773,0.114,86.229,0.369,0.46,0.0,4,0.483,6,237868,-8.959,0.513,0,audio_features,spotify:track:5sUXgmCMa0OboFW0xmxFzH,0
206,0.386,0.138,119.987,0.145,0.274,0.0,4,0.818,0,224893,-10.912,0.682,0,audio_features,spotify:track:1kY2dTf9Tpa8QRHlAJeRYd,0
208,0.796,0.109,84.787,0.419,0.645,0.0,4,0.55,6,211147,-6.917,0.442,0,audio_features,spotify:track:3kTbV66UqiZZ9xcTQuadjU,0
214,0.339,0.0812,127.961,0.148,0.836,7.43e-05,4,0.812,6,237456,-10.73,0.241,0,audio_features,spotify:track:2gaHAv8a7eDlsZra2g2J1l,0
215,0.431,0.126,121.87,0.03,0.357,0.00165,4,0.546,3,255347,-8.636,0.15,0,audio_features,spotify:track:7dUS9BQuTLt67grfmxxKDN,0
222,0.573,0.113,83.926,0.134,0.407,0.00249,4,0.574,1,198008,-8.809,0.17,0,audio_features,spotify:track:63WncsLP44sjnDRw1s8oQk,0
225,0.535,0.0904,93.042,0.128,0.748,0.0,4,0.698,0,201030,-8.029,0.122,0,audio_features,spotify:track:1rEVYOEfQRHTCTU0UaeKwt,0
232,0.285,0.146,101.24,0.0324,0.773,0.835,4,0.764,9,310000,-19.9,0.868,0,audio_features,spotify:track:0nfq0wKQfIwATbUDJZD0ln,0
233,0.803,0.0592,136.057,0.0638,0.713,0.0,4,0.39,7,364973,-6.884,0.546,0,audio_features,spotify:track:5JN70TFrbjjHVJkKfSXlAn,0
242,0.54,0.59,142.109,0.434,0.519,0.0,4,0.828,0,159813,-5.939,0.412,1,audio_features,spotify:track:5wJDZrAiKt9DXcUHVVwn2I,0
243,0.457,0.126,127.99,0.125,0.468,0.546,4,0.831,5,158106,-8.844,0.559,1,audio_features,spotify:track:2nXslLLUtj9I3wyiq1aJi6,0
246,0.603,0.135,125.984,0.239,0.353,0.0,4,0.744,6,340107,-8.77,0.215,0,audio_features,spotify:track:2sTuKKRZI1ciK5tflR00YE,0
247,0.424,0.0876,175.905,0.061,0.752,0.0,4,0.435,7,191240,-7.367,0.475,0,audio_features,spotify:track:1hx2aNhY0DA7daiCvim1nb,0
253,0.694,0.208,89.978,0.291,0.412,0.0,4,0.698,8,206869,-7.766,0.414,1,audio_features,spotify:track:7vo9Jo7RNswCh5o2wfBQ9Z,0
256,0.319,0.106,156.172,0.0684,0.53,6.12e-06,3,0.624,0,210651,-9.035,0.377,0,audio_features,spotify:track:5xXMHq0eZJSPf9EaZivCoM,0
258,0.608,0.0761,102.992,0.0706,0.454,0.0,4,0.825,1,233000,-6.992,0.451,1,audio_features,spotify:track:4yP4P2pHqtejjQ1l12J8bA,0
259,0.524,0.114,78.485,0.32,0.375,0.0,4,0.593,2,184293,-9.032,0.33,1,audio_features,spotify:track:01LqoYTPYFNLvUQ11GHRW7,0
262,0.632,0.177,89.106,0.224,0.624,0.0,4,0.747,6,189614,-8.091,0.518,1,audio_features,spotify:track:76vYozfdujmPMNuFrPO84K,0
266,0.519,0.0973,95.004,0.113,0.285,1.42e-06,4,0.68,9,211800,-11.125,0.238,0,audio_features,spotify:track:4glBRF3uJCf3bTG4hhIhpn,0
267,0.501,0.305,158.348,0.0731,0.778,0.0,4,0.388,11,166200,-11.296,0.532,0,audio_features,spotify:track:7M9pPyt8Gr41THLhbz4NSB,0
270,0.459,0.115,189.88,0.171,0.475,0.0,4,0.545,5,247579,-10.349,0.573,0,audio_features,spotify:track:0Uz1YXmTAsOAdsiFW8D8gU,0
272,0.532,0.0925,136.571,0.0286,0.432,6.25e-06,4,0.601,10,281613,-9.119,0.341,1,audio_features,spotify:track:3gdewACMIVMEWVbyb8O9sY,0
275,0.551,0.135,129.568,0.132,0.451,0.0,4,0.595,5,255720,-8.273,0.468,0,audio_features,spotify:track:4Ca4yzwIFgYJxupDhcXLka,0
276,0.574,0.134,139.949,0.17,0.427,0.000103,4,0.749,11,223907,-8.976,0.711,0,audio_features,spotify:track:2IwpIyyFlNYhwLW5ZeHxNe,0
278,0.611,0.354,148.0,0.243,0.637,0.0,4,0.675,9,189240,-7.215,0.741,0,audio_features,spotify:track:1EtYc0dLZL0ifEWLWWwAJE,0
279,0.523,0.0927,106.993,0.0312,0.727,0.0,4,0.662,11,208219,-9.087,0.39,1,audio_features,spotify:track:1KkPVmfNmNND1vm5PhUv5R,0
286,0.651,0.0848,144.02,0.0992,0.661,0.0,4,0.764,0,232270,-4.695,0.761,1,audio_features,spotify:track:1U1zY3nvxq5JlIANQolMx9,0
287,0.663,0.121,119.911,0.234,0.688,0.0,4,0.78,9,255677,-6.161,0.145,0,audio_features,spotify:track:6O03GOrn4Sey7ktrT8jeMa,0
290,0.808,0.115,176.141,0.462,0.606,0.000144,4,0.629,11,171357,-6.96,0.61,1,audio_features,spotify:track:7uQEiKqLg8P3i9cPC9c0pQ,0
294,0.542,0.302,145.975,0.356,0.383,0.0,4,0.799,7,279200,-7.383,0.671,0,audio_features,spotify:track:4aAifBZiL5ieml3ZN1gIK5,0
296,0.378,0.143,119.962,0.282,0.475,4.63e-05,3,0.678,4,220000,-11.522,0.303,1,audio_features,spotify:track:0xTHot6ZzZbc8eiabOascN,0
298,0.707,0.0742,127.969,0.0828,0.536,0.0,4,0.753,0,247280,-6.527,0.9,1,audio_features,spotify:track:4VpZdc76RyUGjohn4SUIjd,0
301,0.893,0.0569,92.171,0.376,0.645,0.0,4,0.622,8,197040,-6.784,0.511,0,audio_features,spotify:track:2VVEyPFbGkDePlMDHxjqhq,0
303,0.00756,0.109,133.32,0.0382,0.941,0.00643,4,0.438,0,141133,-26.44,0.277,0,audio_features,spotify:track:4l9hml2UCnxoNI3yCdL1BW,0
306,0.684,0.127,138.913,0.264,0.569,0.0,4,0.529,6,277260,-8.839,0.446,1,audio_features,spotify:track:1Abp3RSKwmuppE2SFkH93Z,0
308,0.668,0.441,80.189,0.312,0.437,0.0,4,0.638,4,280947,-6.07,0.411,0,audio_features,spotify:track:5G2kPOVJWA7lggyxoL1xcm,0
309,0.745,0.105,88.015,0.163,0.495,0.0102,4,0.83,5,273668,-8.34,0.498,0,audio_features,spotify:track:2nrgOEtV9AZn6oDzbV3uMq,0
